RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
AARS,HepG2,ENCSR547NWD,ENCSR856ZRV,"ENCFF464UID,ENCFF499YCP,ENCFF950IJN,ENCFF488SPX","ENCFF255RNW,ENCFF604SNM","ENCFF739CVP,ENCFF530DUY",ENCFF937RSQ,ENCFF420QTH,ENCFF388ODV,ENCFF806SNH,ENCFF189JNC,ENCFF403SGX,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
RPS19,HepG2,ENCSR486AIO,ENCSR689PHN,"ENCFF104EGP,ENCFF602NGL,ENCFF494ZRW,ENCFF845GQM","ENCFF764OON,ENCFF558WIP","ENCFF066TMP,ENCFF151SNM",ENCFF218RHP,ENCFF168YCZ,ENCFF098BNP,ENCFF365BYY,ENCFF048LRE,ENCFF239SFZ,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
MSI2,HepG2,ENCSR896MMU,ENCSR067GHD,"ENCFF708SAL,ENCFF177CKM,ENCFF143KLH,ENCFF594UTN","ENCFF932BOB,ENCFF600ERV","ENCFF861FQK,ENCFF761HJL",ENCFF021RND,ENCFF615EMI,ENCFF025RGE,ENCFF693LQI,ENCFF068IBF,ENCFF589WBQ,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
CSTF2,HepG2,ENCSR815JDY,ENCSR856ZRV,"ENCFF105TFE,ENCFF722JVG,ENCFF909LAP,ENCFF041YGN","ENCFF116TYA,ENCFF387LNP","ENCFF568ZNU,ENCFF444MMS",ENCFF588LTT,ENCFF167VKZ,ENCFF279ZML,ENCFF412TFJ,ENCFF908HBG,ENCFF662CSU,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
UBE2L3,HepG2,ENCSR424JSU,ENCSR042QTH,"ENCFF898UHK,ENCFF320AXJ,ENCFF658KYO,ENCFF181VGX","ENCFF872CVZ,ENCFF442NSN","ENCFF110WAU,ENCFF152QCZ",ENCFF152DYU,ENCFF980LLE,ENCFF181ZYU,ENCFF431BXA,ENCFF596ZOM,ENCFF879LNK,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
FXR1,HepG2,ENCSR009PPI,ENCSR237YZT,"ENCFF766PEB,ENCFF523KYJ,ENCFF128FTL,ENCFF313FOH","ENCFF865GTN,ENCFF569MFV","ENCFF295ASV,ENCFF600KIJ",ENCFF634TQL,ENCFF211LTZ,ENCFF498ZUS,ENCFF626AVB,ENCFF894BCJ,ENCFF464IFI,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
SUPT6H,HepG2,ENCSR281KCL,ENCSR067GHD,"ENCFF724ZDB,ENCFF240ANK,ENCFF783KPS,ENCFF630XGP","ENCFF517QNP,ENCFF120VMQ","ENCFF820UBF,ENCFF332WGI",ENCFF029LGO,ENCFF980AML,ENCFF730EBZ,ENCFF514KSW,ENCFF884OVF,ENCFF877DIM,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
NUP35,HepG2,ENCSR457WBK,ENCSR960MSV,"ENCFF190HYE,ENCFF575HWB,ENCFF280HQF,ENCFF799NDX","ENCFF537EKO,ENCFF941QUJ","ENCFF493FUL,ENCFF303VHB",ENCFF247YNX,ENCFF463MPC,ENCFF561OFJ,ENCFF583BUX,ENCFF651XXR,ENCFF422VKU,non-target,"ENCFF297XUD,ENCFF387PGU,ENCFF619COW,ENCFF992STH","ENCFF611WGJ,ENCFF888WPC","ENCFF369LON,ENCFF633TMR"
SUPV3L1,HepG2,ENCSR995RPB,ENCSR856ZRV,"ENCFF624KNV,ENCFF118PYP,ENCFF235YCC,ENCFF417LQZ","ENCFF192VFW,ENCFF078QOX","ENCFF878MYE,ENCFF342YHK",ENCFF339ZOK,ENCFF516RMD,ENCFF400VQZ,ENCFF420JNG,ENCFF258NGR,ENCFF830FNI,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
CCAR1,HepG2,ENCSR081IAO,ENCSR135LXL,"ENCFF185OKC,ENCFF603MKL,ENCFF211JML,ENCFF642WHU","ENCFF900XSL,ENCFF654XYV","ENCFF400OWQ,ENCFF817EIQ",ENCFF867WSE,ENCFF896SNX,ENCFF745WIM,ENCFF191WKL,ENCFF331MUY,ENCFF944NYN,non-target,"ENCFF226MZL,ENCFF108KML,ENCFF512QIR,ENCFF816KYC","ENCFF711NDL,ENCFF772LMC","ENCFF403LSL,ENCFF899UQY"
SSB,HepG2,ENCSR278CHI,ENCSR997HCQ,"ENCFF578DXQ,ENCFF329XPA,ENCFF327LHH,ENCFF628SKZ","ENCFF196ESE,ENCFF166COZ","ENCFF265WBI,ENCFF136CHI",ENCFF135RYL,ENCFF982WPV,ENCFF036UBL,ENCFF492DND,ENCFF795MRZ,ENCFF669GYK,non-target,"ENCFF970XPJ,ENCFF295GVT,ENCFF447YTB,ENCFF210CQX","ENCFF715VOF,ENCFF515ZFQ","ENCFF264PIV,ENCFF653VIH"
GNB2L1,HepG2,ENCSR116YMU,ENCSR674KEK,"ENCFF492BTX,ENCFF659SYD,ENCFF847HQV,ENCFF468IAR","ENCFF426ZZV,ENCFF357QYT","ENCFF222VND,ENCFF950CKD",ENCFF767KHI,ENCFF755WXX,ENCFF926IKX,ENCFF896HVH,ENCFF291QPL,ENCFF723VEX,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
BUD13,HepG2,ENCSR382QKD,ENCSR067GHD,"ENCFF201CLY,ENCFF356IIN,ENCFF981BLK,ENCFF122FQG","ENCFF101CXE,ENCFF960YDV","ENCFF800CUC,ENCFF054WNJ",ENCFF964ZND,ENCFF429HRS,ENCFF213JCA,ENCFF008CQC,ENCFF782ISW,ENCFF629UEE,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
RCC2,HepG2,ENCSR685JXU,ENCSR674KEK,"ENCFF471OOW,ENCFF777MNI,ENCFF711NTG,ENCFF594GXX","ENCFF028BLN,ENCFF296JDF","ENCFF941KJF,ENCFF583YQA",ENCFF113NST,ENCFF603KOO,ENCFF287CCA,ENCFF603ZBL,ENCFF553ZZF,ENCFF526BGF,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
PUF60,HepG2,ENCSR648BSC,ENCSR042QTH,"ENCFF876AJW,ENCFF943WGV,ENCFF065LYN,ENCFF876MHP","ENCFF584LUS,ENCFF450QLW","ENCFF457WEF,ENCFF935XSU",ENCFF739EGR,ENCFF812AUL,ENCFF130YSK,ENCFF686SDJ,ENCFF676RMF,ENCFF190ENR,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
RBM5,HepG2,ENCSR606PVX,ENCSR481WJH,"ENCFF514CDT,ENCFF145NIK,ENCFF972IWN,ENCFF467NYT","ENCFF934JKB,ENCFF264LLP","ENCFF928ZTU,ENCFF049JOG",ENCFF531EGC,ENCFF836XRZ,ENCFF948XEN,ENCFF423RBV,ENCFF535GHS,ENCFF947HEN,non-target,"ENCFF460YOT,ENCFF051FJX,ENCFF737CSN,ENCFF782QYO","ENCFF843QOP,ENCFF432WNR","ENCFF763ZJL,ENCFF333VAN"
SUGP2,HepG2,ENCSR837QDN,ENCSR246RRQ,"ENCFF167MYT,ENCFF259LFX,ENCFF220WUH,ENCFF624OJV","ENCFF384IPG,ENCFF716BPQ","ENCFF526NTI,ENCFF806ARA",ENCFF725FGD,ENCFF083BZN,ENCFF696YJL,ENCFF897VXX,ENCFF294YPZ,ENCFF297ACA,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
DDX52,HepG2,ENCSR913ZWR,ENCSR689PHN,"ENCFF573XLA,ENCFF307SIY,ENCFF074SVD,ENCFF972FSH","ENCFF246WQT,ENCFF756RDZ","ENCFF196JNN,ENCFF060ZHO",ENCFF143MDK,ENCFF991TQV,ENCFF276KPD,ENCFF602WSP,ENCFF697UQO,ENCFF670IUH,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
NKRF,HepG2,ENCSR517JDK,ENCSR246RRQ,"ENCFF410MFK,ENCFF503MTU,ENCFF059YDC,ENCFF734LZZ","ENCFF230ATW,ENCFF292YKI","ENCFF895VCV,ENCFF852VUB",ENCFF739MRK,ENCFF412CDF,ENCFF789ROD,ENCFF209MME,ENCFF491TGO,ENCFF379QPF,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
SNRNP200,HepG2,ENCSR003LSA,ENCSR104ABF,"ENCFF232BDX,ENCFF756JFY,ENCFF360DVE,ENCFF607BPS","ENCFF831XLU,ENCFF194QUZ","ENCFF396LZY,ENCFF959EJG",ENCFF335UIQ,ENCFF998KUY,ENCFF670UWU,ENCFF260NLM,ENCFF678ZQH,ENCFF419EKB,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
HNRNPL,HepG2,ENCSR155BMF,ENCSR042QTH,"ENCFF695OUO,ENCFF917YYJ,ENCFF888EAZ,ENCFF758ALR","ENCFF749XEN,ENCFF384ABD","ENCFF346SLP,ENCFF049UVQ",ENCFF242QPW,ENCFF496UJL,ENCFF967KPZ,ENCFF486NBQ,ENCFF191LQK,ENCFF884NOM,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
FASTKD2,HepG2,ENCSR716WZH,ENCSR003EKR,"ENCFF559JCM,ENCFF899YII,ENCFF935KKV,ENCFF690HZR","ENCFF144PMD,ENCFF792EZN","ENCFF774OFQ,ENCFF590YHD",ENCFF595PCB,ENCFF571IGR,ENCFF397VVG,ENCFF645NGY,ENCFF935KYS,ENCFF590JMJ,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
ACO1,HepG2,ENCSR511SYK,ENCSR538QOG,"ENCFF633SGL,ENCFF846HDA,ENCFF404VZE,ENCFF866CST","ENCFF681MQG,ENCFF995CGT","ENCFF268LTC,ENCFF253KVK",ENCFF922ZRI,ENCFF074UAG,ENCFF809BTB,ENCFF977SFA,ENCFF459FTY,ENCFF929QIT,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
ZNF622,HepG2,ENCSR518JXY,ENCSR691IVR,"ENCFF600DCI,ENCFF979PPY,ENCFF399EUB,ENCFF926NOE","ENCFF012WHT,ENCFF674BBE","ENCFF592PCZ,ENCFF663JEE",ENCFF774XMI,ENCFF597FJT,ENCFF702YKG,ENCFF992YVG,ENCFF194GDF,ENCFF579EFP,non-target,"ENCFF248RMM,ENCFF349QHG,ENCFF947QZH,ENCFF258VUW","ENCFF115BQI,ENCFF715AGI","ENCFF072ZOG,ENCFF573ATS"
PABPC4,HepG2,ENCSR455VZH,ENCSR237YZT,"ENCFF368IFZ,ENCFF225MYA,ENCFF385ACT,ENCFF664SIZ","ENCFF929OLP,ENCFF907GVB","ENCFF122EPY,ENCFF638EGU",ENCFF288ZLD,ENCFF284PQN,ENCFF669PKE,ENCFF504OFJ,ENCFF868XPW,ENCFF107XBP,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
ILF3,HepG2,ENCSR942MBU,ENCSR279HMU,"ENCFF981UMN,ENCFF451OPE,ENCFF088WND,ENCFF790YDV","ENCFF415JGN,ENCFF603VPF","ENCFF157AHW,ENCFF357RYS",ENCFF631USM,ENCFF915NMF,ENCFF687BKU,ENCFF056QJU,ENCFF106OKS,ENCFF474HVU,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
SRSF1,HepG2,ENCSR094KBY,ENCSR603TCV,"ENCFF714YYN,ENCFF729PCF,ENCFF583MPY,ENCFF801DDP","ENCFF707GZQ,ENCFF223XHU","ENCFF201QEY,ENCFF921HMS",ENCFF389NVF,ENCFF807XXS,ENCFF152NVY,ENCFF062CZD,ENCFF421VZA,ENCFF307AVH,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
BOP1,HepG2,ENCSR925SYZ,ENCSR264TUE,"ENCFF391CEI,ENCFF623ISQ,ENCFF855LFN,ENCFF749LAP","ENCFF722HDV,ENCFF998VON","ENCFF423DDU,ENCFF676UGO",ENCFF472MUX,ENCFF822WWH,ENCFF261AHI,ENCFF330DWK,ENCFF448LJN,ENCFF482UZM,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
PHF6,HepG2,ENCSR681SMT,ENCSR674KEK,"ENCFF549TVE,ENCFF771PUB,ENCFF547FWK,ENCFF407IVG","ENCFF229WSC,ENCFF421IAK","ENCFF492RXP,ENCFF095FKD",ENCFF488RGZ,ENCFF932KRW,ENCFF243KTT,ENCFF218OBM,ENCFF284RKZ,ENCFF645HJL,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
PRPF6,HepG2,ENCSR529QEZ,ENCSR491FOC,"ENCFF690CJU,ENCFF010JXT,ENCFF244IXN,ENCFF696GCJ","ENCFF216RVH,ENCFF121FVJ","ENCFF938FON,ENCFF264YAY",ENCFF224WRA,ENCFF586HKO,ENCFF844THW,ENCFF604IJA,ENCFF814XHT,ENCFF647TAZ,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
STIP1,HepG2,ENCSR871BXO,ENCSR279HMU,"ENCFF428OIY,ENCFF181CND,ENCFF167BKF,ENCFF609VED","ENCFF132LSH,ENCFF562CPJ","ENCFF094ADB,ENCFF714YBC",ENCFF596MHW,ENCFF232DCZ,ENCFF358IPV,ENCFF768BGC,ENCFF535BFV,ENCFF821GHQ,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
EIF4A3,HepG2,ENCSR957EEG,ENCSR237YZT,"ENCFF805OZZ,ENCFF938YNE,ENCFF575QOO,ENCFF954MLV","ENCFF224ALJ,ENCFF037BCP","ENCFF710RWV,ENCFF875SRJ",ENCFF742JOT,ENCFF448RUF,ENCFF782DVX,ENCFF102POQ,ENCFF890NBK,ENCFF750GQB,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
RBM34,HepG2,ENCSR318HAT,ENCSR491FOC,"ENCFF282QMJ,ENCFF269UFD,ENCFF123LMD,ENCFF108UVC","ENCFF813XMA,ENCFF292QAQ","ENCFF502LBA,ENCFF407HGD",ENCFF040XBD,ENCFF081UGQ,ENCFF892SCV,ENCFF425XVT,ENCFF831DBO,ENCFF023YAG,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
SLBP,HepG2,ENCSR519KXM,ENCSR042QTH,"ENCFF630ASZ,ENCFF242WVU,ENCFF978VKP,ENCFF651KHH","ENCFF628MBB,ENCFF123CNA","ENCFF490GQD,ENCFF282OHJ",ENCFF727WEW,ENCFF194RTZ,ENCFF252WUW,ENCFF352TKR,ENCFF158RWR,ENCFF587JCP,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
RBM25,HepG2,ENCSR610AEI,ENCSR603TCV,"ENCFF052IYR,ENCFF682KDM,ENCFF418YVG,ENCFF335MQE","ENCFF962XCB,ENCFF349KHC","ENCFF698PRV,ENCFF448NET",ENCFF342XIO,ENCFF257NZG,ENCFF374UWH,ENCFF923BVL,ENCFF645ISS,ENCFF670EVQ,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
HNRNPF,HepG2,ENCSR599NNK,ENCSR105NML,"ENCFF912COC,ENCFF828OZT,ENCFF510WUR,ENCFF752GNB","ENCFF876TOA,ENCFF269FXL","ENCFF177NUQ,ENCFF025DAQ",ENCFF220JWX,ENCFF388OGB,ENCFF031SBV,ENCFF378OSO,ENCFF089UTY,ENCFF509NIJ,non-target,"ENCFF255GEL,ENCFF930LDL,ENCFF582GSM,ENCFF299GUW","ENCFF534AWV,ENCFF134QUL","ENCFF272JSE,ENCFF816DSO"
PES1,HepG2,ENCSR496ETJ,ENCSR538QOG,"ENCFF043BCI,ENCFF154HGX,ENCFF525YRL,ENCFF682FAA","ENCFF912OAO,ENCFF924YCA","ENCFF963UYC,ENCFF277IDU",ENCFF962OOR,ENCFF156EWA,ENCFF574GFR,ENCFF452TEY,ENCFF895CFY,ENCFF686LQO,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
BCLAF1,HepG2,ENCSR481AYC,ENCSR856ZRV,"ENCFF863SFE,ENCFF267DZP,ENCFF132GHM,ENCFF182RAD","ENCFF254QYF,ENCFF775APS","ENCFF670VTV,ENCFF881ZZE",ENCFF989BIT,ENCFF497BSV,ENCFF791GZT,ENCFF535OUP,ENCFF773MUK,ENCFF894JHT,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
RPS10,K562,ENCSR004RGI,ENCSR084SCN,"ENCFF503KUM,ENCFF843EUD,ENCFF893KFG,ENCFF815QDH","ENCFF459YMO,ENCFF922IOC","ENCFF762WIC,ENCFF623QYR",ENCFF598TXM,ENCFF094LUO,ENCFF601QWG,ENCFF852WCT,ENCFF503BSF,ENCFF623MIM,non-target,"ENCFF420XPX,ENCFF861HTL,ENCFF029QIY,ENCFF464MHZ","ENCFF098BEA,ENCFF719PLT","ENCFF255JNV,ENCFF595PIT"
FMR1,K562,ENCSR555LCE,ENCSR424QCW,"ENCFF878CVQ,ENCFF854WET,ENCFF199PVY,ENCFF591AGR","ENCFF466MEG,ENCFF589DNB","ENCFF756YYV,ENCFF242GFU",ENCFF551WYQ,ENCFF263LSS,ENCFF877JKT,ENCFF594OVX,ENCFF134MXG,ENCFF016YQH,non-target,"ENCFF791HTS,ENCFF691MJX,ENCFF078MXU,ENCFF656RXL","ENCFF847DQL,ENCFF523LXJ","ENCFF726AVK,ENCFF945TIU"
FIP1L1,K562,ENCSR511BNY,ENCSR032YMP,"ENCFF531GGR,ENCFF252ZKT,ENCFF812EPK,ENCFF500LRG","ENCFF281HMB,ENCFF043ATB","ENCFF578PXL,ENCFF665XYN",ENCFF845HGG,ENCFF275JGQ,ENCFF866CDY,ENCFF878FOT,ENCFF598MNK,ENCFF398VDX,non-target,"ENCFF743EKS,ENCFF553PEN,ENCFF352SRA,ENCFF852RBO","ENCFF471AKF,ENCFF083EEO","ENCFF951HPS,ENCFF809LLU"
EIF2S1,K562,ENCSR546MBH,ENCSR913CAE,"ENCFF787GPF,ENCFF948JBB,ENCFF988DMQ,ENCFF990RVT","ENCFF064SEH,ENCFF121ZAU","ENCFF074KQD,ENCFF694XSD",ENCFF337ZID,ENCFF978TSB,ENCFF434VVJ,ENCFF266KDP,ENCFF469MYY,ENCFF955REM,non-target,"ENCFF017WXT,ENCFF510GOL,ENCFF759IRT,ENCFF963MPW","ENCFF309OOI,ENCFF092XAP","ENCFF818KUW,ENCFF115OOZ"
STAU1,K562,ENCSR777EDL,ENCSR032YMP,"ENCFF799FSS,ENCFF798DTH,ENCFF376EIQ,ENCFF394RFA","ENCFF579GNE,ENCFF136KAS","ENCFF640MBX,ENCFF575BOM",ENCFF877WGX,ENCFF684RMT,ENCFF540CMD,ENCFF150QLG,ENCFF810UFN,ENCFF669FEU,non-target,"ENCFF743EKS,ENCFF553PEN,ENCFF352SRA,ENCFF852RBO","ENCFF471AKF,ENCFF083EEO","ENCFF951HPS,ENCFF809LLU"
AGO1,K562,ENCSR268JDD,ENCSR084SCN,"ENCFF521YJN,ENCFF650VKT,ENCFF259SCX,ENCFF753WMF","ENCFF244QXH,ENCFF653PZL","ENCFF616WZW,ENCFF261BIW",ENCFF123EFG,ENCFF382AYV,ENCFF856NLP,ENCFF335VMP,ENCFF087GTP,ENCFF730CUU,non-target,"ENCFF420XPX,ENCFF861HTL,ENCFF029QIY,ENCFF464MHZ","ENCFF098BEA,ENCFF719PLT","ENCFF255JNV,ENCFF595PIT"
RPS3A,K562,ENCSR788YGG,ENCSR419JMU,"ENCFF669IVD,ENCFF936LFG,ENCFF391UIO,ENCFF048UWF","ENCFF366CVH,ENCFF451VJH","ENCFF207ZCU,ENCFF874GFE",ENCFF304AGQ,ENCFF979JJU,ENCFF632ZTF,ENCFF807PYB,ENCFF121NAV,ENCFF314GVG,non-target,"ENCFF447KSW,ENCFF111AWS,ENCFF539FEL,ENCFF276RDY","ENCFF264YZI,ENCFF742XEQ","ENCFF661LLS,ENCFF912ATD"
GRWD1,K562,ENCSR528ASX,ENCSR572FFX,"ENCFF846FDH,ENCFF717NPV,ENCFF616ZQN,ENCFF590EJN","ENCFF533ZTK,ENCFF033BGV","ENCFF511TAQ,ENCFF519KPV",ENCFF681VTZ,ENCFF931CQH,ENCFF350LMB,ENCFF307LST,ENCFF757RAV,ENCFF443QMY,non-target,"ENCFF561XEM,ENCFF023EZN,ENCFF447KSW,ENCFF111AWS","ENCFF275ZEJ,ENCFF264YZI","ENCFF863EKL,ENCFF661LLS"
TARDBP,K562,ENCSR134JRE,ENCSR129RWD,"ENCFF604UQO,ENCFF513YBI,ENCFF239VZF,ENCFF624OCC","ENCFF634GSF,ENCFF141CTR","ENCFF827ISM,ENCFF912LNH",ENCFF835RRA,ENCFF981ZEB,ENCFF543OLO,ENCFF147BFH,ENCFF640NDE,ENCFF906VLL,non-target,"ENCFF726LTF,ENCFF569YVH,ENCFF781HCE,ENCFF121QGM","ENCFF019XTR,ENCFF178NNK","ENCFF717QPG,ENCFF185JIF"
CSTF2T,K562,ENCSR286OKW,ENCSR815CVQ,"ENCFF008UHA,ENCFF138LDH,ENCFF678ZQI,ENCFF727HJS","ENCFF110CVQ,ENCFF743GOG","ENCFF272DAT,ENCFF414AXJ",ENCFF680HVK,ENCFF699HMJ,ENCFF501WHO,ENCFF756VKY,ENCFF487DVX,ENCFF178IOR,non-target,"ENCFF312ANF,ENCFF124WIZ,ENCFF339ZUH,ENCFF292HLM","ENCFF461TSD,ENCFF985IXD","ENCFF098AIT,ENCFF504GSG"
METAP2,K562,ENCSR952QDQ,ENCSR424QCW,"ENCFF479MEU,ENCFF066WEL,ENCFF105EPY,ENCFF503QYK","ENCFF605WVQ,ENCFF371TVY","ENCFF743VCJ,ENCFF024UVT",ENCFF954JUG,ENCFF891JVI,ENCFF242QJW,ENCFF107YOB,ENCFF108GMZ,ENCFF179HJZ,non-target,"ENCFF791HTS,ENCFF691MJX,ENCFF078MXU,ENCFF656RXL","ENCFF847DQL,ENCFF523LXJ","ENCFF726AVK,ENCFF945TIU"
EEF2,K562,ENCSR181RLB,ENCSR661HEL,"ENCFF647QUX,ENCFF808PNY,ENCFF923JKP,ENCFF763GZO","ENCFF507NQE,ENCFF333ZWZ","ENCFF444LQA,ENCFF185XHP",ENCFF264WTQ,ENCFF598VNI,ENCFF614ZPT,ENCFF619UAR,ENCFF230UEX,ENCFF822TCL,non-target,"ENCFF539FEL,ENCFF276RDY,ENCFF325DLF,ENCFF616AQI","ENCFF742XEQ,ENCFF519YTY","ENCFF912ATD,ENCFF539FKS"
UPF1,K562,ENCSR251ABP,ENCSR174OYC,"ENCFF262ABF,ENCFF399ZJQ,ENCFF458YEY,ENCFF406XHI","ENCFF741EOK,ENCFF027DXP","ENCFF514SJG,ENCFF700DGA",ENCFF061TRZ,ENCFF107MPB,ENCFF814UWA,ENCFF201KYE,ENCFF052LRO,ENCFF326PEV,non-target,"ENCFF361BPK,ENCFF826EEI,ENCFF605WBD,ENCFF508COB","ENCFF803MMD,ENCFF351XSJ","ENCFF629SOF,ENCFF310TYD"
DDX24,K562,ENCSR067LLB,ENCSR913CAE,"ENCFF071FJN,ENCFF892BVJ,ENCFF109YMT,ENCFF801CGH","ENCFF084KMK,ENCFF626FFP","ENCFF416DMF,ENCFF598RUC",ENCFF730BJA,ENCFF379UDO,ENCFF532VHZ,ENCFF582UFC,ENCFF930KWT,ENCFF432ZZR,non-target,"ENCFF017WXT,ENCFF510GOL,ENCFF759IRT,ENCFF963MPW","ENCFF309OOI,ENCFF092XAP","ENCFF818KUW,ENCFF115OOZ"
TIAL1,K562,ENCSR927TSP,ENCSR572FFX,"ENCFF640OLN,ENCFF637CYG,ENCFF860XVB,ENCFF936XHH","ENCFF057FXC,ENCFF953IZH","ENCFF219OBZ,ENCFF582JZO",ENCFF905NAV,ENCFF766GCQ,ENCFF326WVI,ENCFF825MTC,ENCFF353SRM,ENCFF671PMP,non-target,"ENCFF561XEM,ENCFF023EZN,ENCFF447KSW,ENCFF111AWS","ENCFF275ZEJ,ENCFF264YZI","ENCFF863EKL,ENCFF661LLS"
